Year,Song Title,Artist,Secondary Artist,"Organization of Backbeat (2, 3)",Kick / Snare Rate (in BPM),"1st Level Subdivision (2, 3)","2nd Level Subdivision (0, 2, 3)",Tempo of Swung Layer
1949,Slipping Around,Margaret Whiting,Jimmy Wakely,2,133,3,0,132
1949,Lovesick Blues,Hank Williams,,2,125,3,0,125
1949,Don't Rob Another Man's Castle,Eddy Arnold,,3,105,3,0,105
1949,I Love You So Much It Hurts,Jimmy Wakely,,3,96,3,0,96
1949,I'm Throwing Rice (At The Girl That I Love),Eddy Arnold,,3,100,3,0,100
1949,Mule Train,Tennessee Ernie Ford,,2,256,2,2,
1949,Candy Kisses,George Morgan,,2,146,3,0,146
1949,One Kiss Too Many,Eddy Arnold,,2,160,3,0,160
1949,Why Don't You Haul Off And Love Me,Wayne Raney,,2,184,3,0,184
1949,Tennessee Saturday Night,Red Foley,,2,140,3,0,140
1950,I'm Moving On,Hank Snow,,2,195,3,0,195
1950,Chattanoogie Shoe Shine Boy,Red Foley,,2,148,3,0,148
1950,Why Don't You Love Me,Hank Williams,,2,140,3,0,140
1950,Long Gone Lonesome Blues,Hank Williams,,2,124,3,0,124
1950,Birmingham Bounce,Red Foley,,2,175,3,0,175
1950,I'll Sail My Ship Alone,Moon Mullican,,2,185,3,0,185
1950,Goodnight Irene,Red Foley,Ernest Tubb,3,128,3,0,128
1950,If You've Got The Money I've Got,Lefty Frizzell,,2,206,3,0,206
1950,I Love You Because,Leon Payne,,2,120,3,0,120
1950,Mississippi,Red Foley,,2,148,3,0,148
1951,Slow Poke,Pee Wee King,,2,141,3,0,141
1951,The Shot Gun Boogie,Tennessee Ernie Ford,,2,173,3,0,173
1951,Always Late (With Your Kisses),Lefty Frizzell,,2,116,3,0,116
1951,There's Been A Change In Me,Eddy Arnold,,2,135,3,0,135
1951,I Want To Be With You Always,Lefty Frizzell,,2,111,3,0,111
1951,I Wanna Play House With You,Eddy Arnold,,2,178,3,0,178
1951,Hey Good Lookin',Hank Williams,,2,141,3,0,141
1951,The Rhumba Boogie,Hank Snow,,2,188,3,0,188
1951,Let Old Mother Nature Have Her Way,Carl Smith,,2,145,3,0,145
1951,Cold Cold Heart,Hank Williams,,2,114,3,0,114
1952,The Wild Side Of Life,Hank Thompson,,2,115,3,0,115
1952,Jambalaya (On The Bayou),Hank Williams,,2,164,3,0,164
1952,(When You Feel Like You're In Love) Don't Just Stand There,Carl Smith,,2,176,3,0,176
1952,It Wasn't God Who Made Honky Tonk Angels,Kitty Wells,,2,140,3,0,140
1952,Wondering,Webb Pierce,,3,133,3,0,133
1952,A Full Time Job,Eddy Arnold,,2,240,3,0,240
1952,Back Street Affair,Webb Pierce,,2,113,3,0,113
1952,Give Me More More More (Of Your Kisses),Lefty Frizzell,,2,198,3,0,198
1952,That Heart Belongs To Me,Webb Pierce,,2,117,3,0,117
1952,Don't Let The Stars Get In Your Eyes,Skeets McDonald,,2,236,3,0,236
1953,Kaw-Liga,Hank Williams,,2,224,3,0,224
1953,There Stands The Glass,Webb Pierce,,2,114,3,0,114
1953,Mexican Joe,Jim Reeves,,2,256,3,0,256
1953,It's Been So Long,Webb Pierce,,2,142,3,0,142
1953,Hey Joe,Carl Smith,,2,220,3,0,220
1953,I Forgot More Than You'll Ever Know,The Davis Sisters,,3,96,3,0,96
1953,Your Cheatin' Heart,Hank Williams,,2,128,3,0,128
1953,A Dear John Letter,Jean Shephard,Ferlin Huskey,2,115,3,0,115
1953,No Help Wanted,The Carlisles,,2,206,3,0,206
1953,Take These Chains From My Heart,Hank Williams,,2,130,3,0,130
1954,I Don't Hurt Anymore,Hank Snow,,2,96,3,0,96
1954,Slowly,Webb Pierce,,2,111,3,0,111
1954,More And More,Webb Pierce,,2,116,3,0,116
1954,Bimbo,Jim Reeves,,2,178,3,0,178
1954,Wake Up Irene,Hank Thompson,,2,224,2,2,
1954,(Oh Baby Mine) I Get So Lonely,Johnnie & Jack,,2,252,3,0,252
1954,Even Tho,Webb Pierce,,2,174,3,0,174
1954,I Really Don't Want To Know,Eddy Arnold,,3,76,3,0,76
